अः	B-filler_R
hello	O
नरेश	O
कैसा	O
है	O
बस	O
भाई	O
मैं	O
तो	O
ठीक	O
हूं	O
यार	B-pet_R
क्या	O
कर	O
रहा	O
है	O
भाई	O
तु	O
कुछ	O
नहीं	O
भाई	O
तुझे	O
तो	O
पता	O
ही	O
है	O
मैं	O
competitive	O
exams	O
की	O
तैयारी	O
कर	O
रहा	O
हूं	O
तो	O
अः	B-filler_R
current	O
affairs	O
पढ़	O
रहा	O
था	O
वैसे	O
तु	O
क्या	O
कर	O
रहा	O
है	O
आजकल	O
अरे	B-pet_R
यार	I-pet_R
में	O
भी	O
यार	B-pet_R
C	O
-	O
MET	O
जो	O
exam	O
होती	O
है	O
ना	O
जो	O
admission	O
test	O
होता	O
है	O
जो	O
MBA	O
के	O
लिए	O
अः	B-filler_R
उसके	O
लिए	O
तैयारी	O
कर	O
रहा	O
हूं	O
तो	B-repeat_R
तो	O
उसके	O
लिए	O
में	O
भी	O
यार	B-pet_R
current	O
affairs	O
पड़	O
रहा	O
हूं	O
आजकल	O
हां	O
तो	O
तूने	O
वो	O
पढ़ा	O
है	O
की	O
अः	B-filler_R
Turkey	O
में	O
जो	O
भूकम्प	O
आया	O
उससे	O
क्या	O
क्या	O
हुआ	O
में	O
अः	B-filler_R
news	O
paper	O
पढ़	O
रहा	O
था	O
तो	O
मैंने	O
देखा	O
की	O
वहा	O
बीस	O
हजार	O
से	O
भी	O
ज्यादा	O
लोग	O
मारे	O
गए	O
हा	O
यार	O
में	O
तो	O
बीस	O
हजार	O
से	O
लीख	O
रहा	O
है	O
यार	B-pet_R
अंदर	O
बीस	O
हजार	O
paper	O
में	O
मगर	O
मेरे	O
को	O
तो	O
लगता	O
है	O
कि	O
बीस	O
हजार	O
से	O
भी	O
बहुत	O
ज्यादा	O
लोग	O
मारे	O
गए	O
हैं	O
यार	B-pet_R
बहुत	O
सारी	O
जान	O
हांनी	O
हुई	O
है	O
और	O
तुमने	O
देखा	O
यार	O
मैंने	O
video	O
भी	O
देखा	O
कैसे	O
भुकम्प	O
आया	O
तो	O
यार	O
सब	O
बिल्डिंगे	O
गिर	O
रही	O
हैं	O
लोग	O
मर	O
रहे	O
हैं	O
उसका	O
video	O
भी	O
मैंने	O
देख	O
लिया	O
था	B-repair_R
~	I-repair_R
देख	O
लिया	O
भाई	O
हा	O
भाई	O
वो	O
तो	O
है	O
ही	O
क्या	O
होता	O
है	O
की	O
newspaper	O
वाले	O
जो	O
होते	O
हैं	O
वो	O
अ	B-repair_R
~	I-repair_R
असली	I-repair_R
अ	I-repair_R
~	I-repair_R
अंक	B-Alteration
नहीं	I-Alteration
बताते	O
क्योंकि	O
अः	B-filler_R
लोगों	O
में	O
फेल	O
हो	O
जाएगी	O
पर	O
अः	B-filler_R
वो	O
क्या	O
होता	O
है	O
की	O
पचास	O
हजार	O
से	O
भी	O
ज्यादा	O
लोग	O
मेरे	O
अंदाज	O
से	O
तो	O
मारे	O
गए	O
होंगे	O
क्योंकि	O
जो	O
भूकम्प	O
था	O
वो	O
अः	B-filler_R
दुनिया	O
में	O
पहली	O
बार	O
इतना	O
ज्यादा	O
आया	O
था	O
की	O
nine	O
point	O
आठ	O
का	O
था	O
जो	O
उनका	O
Richter	O
scale	O
होता	O
है	O
वो	O
और	O
उसका	O
Epic	O
centre	O
वहां	O
तो	O
सबसे	O
ज्यादा	O
तबाही	O
हो	O
गई	O
है	O
और	O
आजकल	O
जो	B-repair_R
होते	I-repair_R
है	I-repair_R
जो	B-Alteration
भूकम्प	I-Alteration
के	I-Alteration
बाद	I-Alteration
आते	O
हैं	O
उससे	O
भी	O
ज्यादा	O
खतरनाक	O
अः	B-filler_R
वातावरण	O
पैदा	O
हो	O
गया	O
था	O
उससे	O
बिल्डिंगे	O
गिर	O
रही	O
थी	O
बच्चे	O
भी	O
उसमें	O
दफनाया	O
जा	O
रहे	O
जैसे	O
की	O
बिल्डिंग	O
के	O
नीचे	O
तो	O
मुझे	O
तो	O
लगता	O
है	O
कि	O
ये	O
बहुत	O
ही	O
ज्यादा	O
खतरानक	O
था	O
l	O
हा	O
यार	B-pet_R
अः	B-filler_R
जो	O
जापान	O
में	O
जो	O
भूकम्प	O
आया	O
था	O
और	B-repeat_R
~	I-repeat_R
और	O
देशो	O
में	O
जो	O
भूकम्प	O
आता	O
है	O
उसके	O
मुकाबले	O
में	O
तो	O
यार	B-pet_R
ये	O
बहुत	O
ज्यादा	O
था	O
तुमने	O
देखा	O
यार	B-pet_R
बड़ी	O
बड़ी	O
बी	B-repeat_R
~	I-repeat_R
बिल्डिंगे	O
यार	B-pet_R
केसे	O
कचरा	O
हो	O
गयी	O
यार	B-pet_R
इसे	O
गिर	O
रही	O
थी	O
और	O
यार	O
इस	B-repeat_R
~	I-repeat_R
इसमें	O
फसे	O
लोगो	O
को	O
यार	B-pet_R
बिचारी	O
जो	O
team	O
में	O
जो	O
commando	B-repair_R
है	I-repair_R
वो	I-repair_R
हमारे	I-repair_R
commando	O
को	O
यार	O
वो	O
दूसरे	O
देश	O
के	O
commando	O
को	O
salute	O
है	O
यार	O
परिस्थति	O
में	O
rescue	O
कर	O
रहे	O
थे	O
यार	O
तो	O
जो	O
video	O
देखा	O
था	O
मेरे	O
को	O
लग	O
रहा	O
था	O
की	O
यार	O
उसको	O
तो	O
खड़े	O
कर	B-repair_R
~	I-repair_R
salute	O
है	O
यार	O
क्युकी	O
यार	O
तुमने	O
देखा	O
यार	O
ये	O
news	O
अः	B-repeat_R
दू	I-repeat_R
~	I-repeat_R
पूरी	O
दुनिया	O
में	O
सिर्फ	O
बीस	O
minute	O
के	O
अंदर	O
फेल	O
गई	O
हा	O
वो	O
तो	O
है	O
ही	O
भाई	O
की	O
technology	O
के	O
कारण	O
क्या	O
होता	O
है	O
कि	O
सभी	O
लोग	O
अः	B-filler_R
inform	O
हो	O
जाते	O
हैं	O
और	O
अः	B-filler_R
पूरी	O
दुनिया	O
में	O
जो	O
देश	O
है	O
उन्होंने	O
अपनी	O
मदद	O
भेज	O
दी	O
इससे	O
क्या	O
हुआ	O
की	O
एक	O
अः	B-filler_R
जो	O
ये	O
दुनिया	O
है	O
अः	B-filler_R
global	O
village	O
बन	O
चुकी	O
है	O
इसके	O
फ़ायदा	O
ये	O
हो	O
रहा	O
है	O
कि	O
सारी	O
दुनिया	O
को	O
पता	O
चल	O
गया	O
और	O
वो	O
चले	O
गए	O
वहां	O
तो	O
उस	B-repair_R
~	I-repair_R
उन्होंने	B-Alteration
help	O
की	O
तो	O
Turkey	O
ने	O
और	O
Syria	O
ने	O
भी	O
उनको	O
thanks	O
कहा	O
मैं	O
तो	O
एक	O
video	O
देखा	O
था	O
कि	O
एक	O
बच्ची	O
थी	O
वो	O
अपने	O
भाई	O
को	O
बच्चा	O
रही	O
थी	O
वो	O
भी	O
खुश	O
होगी	O
की	O
उसकी	O
जान	O
बच	O
गई	O
तो	O
